,Câu hỏi,A,B,C,D,Câu trả lời đúng
1,Ai được xem là “cha đẻ” của máy tính hiện đại?,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage,D
2,"Trong Python, từ khóa nào dùng để định nghĩa hàm?",func,define,def,function,C
3,Ký hiệu “#include” trong C/C++ dùng để làm gì?,Khai báo biến toàn cục,Nhập thư viện hoặc file header,Tạo vòng lặp,Khai báo lớp,B
4,"Trong ReactJS, “state” dùng để làm gì?",Lưu dữ liệu thay đổi trong component,Lưu cấu trúc HTML,Định nghĩa hàm render,Kết nối API,A
5,Thuật ngữ “Generative AI” mô tả khả năng nào của hệ thống AI?,Phân loại dữ liệu,Sinh ra nội dung mới ,Tối ưu mô hình,Giám sát dữ liệu,B
6,"Tình đến tháng 10.2025, cộng đồng nhà phát triển trên OpenAI đạt con số bao nhiêu?",2 triệu,4 triệu,6 triệu,8 triệu,B
7,"Theo thống kê từ OpenAI - tính đến tháng 10.2025, số lượng người dùng ChatGPT hàng tuần là bao nhiêu?",100 triệu,500 triệu,800 triệu,1 tỷ,C
8,Codex & GPT-5-Codex có khả năng nổi bật nào?,Hiển thị playlist Spotify trong ChatGPT,"Tự lên kế hoạch, tìm kiếm tài liệu, thực thi lệnh và gỡ lỗi code",Tạo video quảng cáo từ hình ảnh tĩnh,Kết nối agent với các công cụ nội bộ,B
9,Mô hình cao nhất mà OpenAI đang mang đến cho người dùng?,GPT-5,GPT-4,GPT-6,GPT-6 Pro,A
10,"Trong sự kiện OpenAI DevDay 2025, Apps SDK được giới thiệu với mục đích chính là gì?",Cho phép xây dựng các ứng dụng tương tác tồn tại bên trong ChatGPT,"Bộ công cụ mới của OpenAI dùng để xây dựng, triển khai và tối ưu hóa các ứng dụng agentic",Sản phẩm trợ lý mã hóa chuyên dụng của OpenAI dành cho quy trình làm việc của nhà phát triển,Mô hình chuyển văn bản thành video,A
11,ChatKit của OpenAI dùng để làm gì?,Xây dựng agent không cần code,Nhúng giao diện chat vào ứng dụng,Tạo video quảng cáo,Tối ưu pull request trên GitHub,B
12,Đâu không phải là một ngôn ngữ lập trình?,Python,HTML,Javascript,Kotlin,B
13,Shopify Sidekick là gì?,"Trợ lý AI thông minh, đa ngôn ngữ",Công cụ AI giúp tạo giao diện cửa hàng,Chương trình đào tạo đối tác chiến lược của Shopify,Không có đáp án đúng,A
14,Shopify Summer 2025 có tên chủ đề chính là gì?,Horizon,Auora,Fusion,Elevate,A
15,AI Store Builder của Shopify giúp người dùng làm gì?,Tự động quản lý kho hàng,Tạo giao diện website tùy chỉnh dựa trên mô tả thương hiệu,Tối ưu vận chuyển quốc tế,Phân tích tài chính doanh nghiệp,B
16,Phiên bản Shopify Summer 2025 hướng tới đối tượng doanh nghiệp nào?,Startup nhỏ,Doanh nghiệp bán lẻ,Từ SMEs đến Enterprise,Chỉ doanh nghiệp lớn,C
17,Ai được xem là “cha đẻ” của máy tính hiện đại?,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage,D
18,"Trong Python, từ khóa nào dùng để định nghĩa hàm?",func,define,def,function,C
19,Ký hiệu “#include” trong C/C++ dùng để làm gì?,Khai báo biến toàn cục,Nhập thư viện hoặc file header,Tạo vòng lặp,Khai báo lớp,B
20,"Trong ReactJS, “state” dùng để làm gì?",Lưu dữ liệu thay đổi trong component,Lưu cấu trúc HTML,Định nghĩa hàm render,Kết nối API,A
21,Thuật ngữ “Generative AI” mô tả khả năng nào của hệ thống AI?,Phân loại dữ liệu,Sinh ra nội dung mới ,Tối ưu mô hình,Giám sát dữ liệu,B
22,"Tiếp theo của dãy số: 2, 6, 12, 20, 30, ?",36,40,42,48,C
23,"Nếu 2 hộp chứa tổng cộng 30 viên bi, hộp A có 4 viên nhiều hơn hộp B, thì mỗi hộp có bao nhiêu viên?",17 và 13,16 và 14,18 và 12,15 và 15,A
24,Codex & GPT-5-Codex có khả năng nổi bật nào?,Hiển thị playlist Spotify trong ChatGPT,"Tự lên kế hoạch, tìm kiếm tài liệu, thực thi lệnh và gỡ lỗi code",Tạo video quảng cáo từ hình ảnh tĩnh,Kết nối agent với các công cụ nội bộ,B
25,Mô hình cao nhất mà OpenAI đang mang đến cho người dùng?,GPT-5 Pro,GPT-5,GPT-6,GPT-6 Pro,A
26,"Trong sự kiện OpenAI DevDay 2025, Apps SDK được giới thiệu với mục đích chính là gì?",Cho phép xây dựng các ứng dụng tương tác tồn tại bên trong ChatGPT,"Bộ công cụ mới của OpenAI dùng để xây dựng, triển khai và tối ưu hóa các ứng dụng agentic",Sản phẩm trợ lý mã hóa chuyên dụng của OpenAI dành cho quy trình làm việc của nhà phát triển,Mô hình chuyển văn bản thành video,A
27,ChatKit của OpenAI dùng để làm gì?,Xây dựng agent không cần code,Nhúng giao diện chat vào ứng dụng,Tạo video quảng cáo,Tối ưu pull request trên GitHub,B
28,Kiến trúc nào là nền tảng cho sự phát triển của các Mô hình Ngôn ngữ Lớn (LLM) hiện đại như GPT-4 hay Gemini?,Điện toán lượng tử,Kiến trúc Mạng nơ-ron tích chập (CNN),Kiến trúc Transformer,Kiến trúc Mạng nơ-ron hồi quy (RNN),C
29,"Mô hình Thương mại điện tử (E-commerce) nào đang phát triển mạnh mẽ nhất, trong đó giao dịch được thực hiện trực tiếp giữa người bán và người mua thông qua các nền tảng video trực tiếp?",Social Commerce (Thương mại xã hội),Direct-to-Consumer (D2C),Live Commerce (Thương mại trực tiếp/Livestream),Cross-border E-commerce (Thương mại điện tử xuyên biên giới),C
30,"Trong E-commerce, D2C (Direct-to-Consumer) có nghĩa là gì?",Phân phối sản phẩm thông qua các nhà bán lẻ và nhà phân phối lớn.,"Doanh nghiệp bán hàng trực tiếp đến người tiêu dùng, loại bỏ các bên trung gian như nhà bán lẻ hoặc sàn thương mại điện tử.",Người tiêu dùng trực tiếp trao đổi sản phẩm đã qua sử dụng với nhau.,Doanh nghiệp chỉ bán các sản phẩm kỹ thuật số.,B
31,Kỳ lân (Unicorn) trong Thương mại điện tử và công nghệ được định nghĩa là một công ty khởi nghiệp tư nhân đạt giá trị vốn hóa tối thiểu là bao nhiêu?,100 tỷ USD,1 tỷ USD,10 tỷ USD,100 triệu USD,B
32,"
Trong AI tạo sinh (Generative AI), thuật ngữ 'In-context Learning' (Học trong ngữ cảnh) có nghĩa là gì?",Mô hình được huấn luyện lại trên một tập dữ liệu mới.,Mô hình phải tự tìm kiếm thông tin trên internet trước khi trả lời.,Mô hình chỉ được sử dụng trong một lĩnh vực cụ thể (ví dụ: y tế).,"Mô hình học các kỹ năng mới bằng cách chỉ đưa ví dụ và hướng dẫn vào lời nhắc (Prompt), mà không cần cập nhật tham số (Weights).",D
33,Thị trường E-commerce nào sau đây đang chứng kiến sự trỗi dậy mạnh mẽ của các nhà sản xuất/thương hiệu Trung Quốc bán hàng trực tiếp ra nước ngoài (Cross-border Outbound)?,Etsy và eBay,Amazon và Alibaba,Taobao và Tmall,Shein và Temu,D
34,"Nền tảng của đối thủ lớn nào sau đây là thách thức trực tiếp nhất đối với khả năng suy luận và đa phương thức của các mô hình GPT?
",Meta với Llama 3,Google DeepMind với mô hình Gemini,Apple Intelligence,Elon Musk với Grok,B
35,OpenAI đang hợp tác với cựu giám đốc thiết kế nào của Apple để phát triển một nguyên mẫu thiết bị tương tác AI dành cho người tiêu dùng?,Steve Wozniak,"Tim Cook
","Phil Schiller
",Jony Ive,D
36,Sự khác biệt cốt lõi giữa mô hình Instant và mô hình Thinking mà OpenAI đang phát triển là gì?,"Instant ưu tiên tốc độ và phản hồi ấm áp, Thinking ưu tiên suy luận phức tạp và độ ổn định.
","Instant sử dụng dữ liệu cũ hơn, Thinking sử dụng dữ liệu thời gian thực.
","Instant là mô hình tạo hình ảnh, Thinking là mô hình tạo video.
","Instant chỉ hoạt động trên thiết bị di động, Thinking chỉ hoạt động trên máy tính để bàn.
",A
37,"Trong chiến lược phát triển mô hình, GPT-5.1 được cho là sẽ có thêm tính năng nào giúp cá nhân hóa trải nghiệm trò chuyện?",Tự động dịch mọi câu trả lời sang 100 ngôn ngữ khác nhau.,Khả năng chuyển đổi giữa các phong cách và tính cách (từ chuyên nghiệp đến lập dị) trong phản hồi.,Tự động xóa lịch sử trò chuyện sau mỗi 24 giờ.,Chỉ nói chuyện bằng giọng nói của người nổi tiếng.,B
38,Mục tiêu chính của Apps SDK mà OpenAI cung cấp cho các nhà phát triển là gì?,Giảm chi phí vận hành (inference cost) của các mô hình GPT-4o.,Chỉ tạo ra các mô hình AI chỉ hoạt động ngoại tuyến.,Cho phép người dùng cuối tùy chỉnh giọng nói của ChatGPT.,Xây dựng các ứng dụng mở rộng (extensions) có khả năng thực hiện tác vụ (Agentic) tích hợp trực tiếp vào ChatGPT.,D
39,FireGroup đang có bao nhiêu sản phẩm ?,5+,10+,15+,20+,B
40,FireGroup was founded in ….?,2011,2013,2016,2015,C
41,Sản phẩm nào dưới đây được realise lần đầu vào năm 2017,Transcy,OneMobile,Ali Reviews,Zopi,C
42,42.webp,đột phá/ toàn diện/ lâu dài,sáng tạo/ triệt để/ bền vững,độc đáo/ cụ thể/ bền bỉ,đổi mới/ triệt để/ vững chắc,B
43,43.webp,A6 - B1 - C6 - D4 - E3 - F2 - G7,A6 - B1 - C6 - D4 - E3 - F2 - G7,A5 - B6 - C1 - D4 - E2 - F3 - G7,A5 - B6 - C3 - D2 - E1 - F4 - G7,C
44,44.webp,mạng lưới / tiện lợi / tối ưu,hệ sinh thái / nhanh chóng / bền vững,thế giới / dễ dàng / hiệu quả,nền tảng / đơn giản / mạnh mẽ,C
45,FireGroup có khoảng bao nhiêu active merchants trên toàn cầu?,100.000+,250.000+,450.000+,1.000.000+,C
46,Tỷ lệ khách hàng của FireGroup đến từ thị trường US-UK chiếm khoảng bao nhiêu phần trăm?,25%,50%,75%,95%,D
47,Sông nào dài nhất Việt Nam?,Sông Hồng,Sông Cửu Long,Sông Mã,Sông Đồng Nai,B
48,Ứng dụng Transcy đạt vị trí nào trong hạng mục Currency trên Shopify App Store năm 2023?,#3,#5,#1,#10,C
49,"Năm 2023, FireGroup ra mắt sản phẩm nào mới?",Feedhub,OneMobile,Promer,Zopi,B
50,Hệ sinh thái Promer – AI-Native Platform for Ecommerce gồm bao nhiêu sản phẩm?,2,3,4,5,C
51,51.webp,9 - 10 - 11,9 - 11 - 10,9 - 11 - 11,10 - 11 - 9,C
52,"Nếu một sản phẩm có doanh thu tăng 20% nhưng chi phí tăng 10%, lợi nhuận sẽ tăng bao nhiêu phần trăm?",0.25,0.3,0.35,0.4,C
53,"Nếu một store của khách hàng có 13,000 đánh giá 5 sao, mỗi đánh giá tăng 0.5% tỷ lệ chuyển đổi. Nếu 10% đánh giá không còn hợp lệ, tổng tỷ lệ tăng đánh giá 5 sao là bao nhiêu?
","58,5%",0.6,"68,5%",0.6,A
54,Tên gọi Promer được kết hợp từ đâu?,Prometheus,Prompt,Professional Merchants,Tất cả các ý trên,D
55,"FireGroup được vinh danh tại hạng mục “Best in APAC - Commerce Coach Awards"" năm nào?",2022,2023,2024,2025,C
